int	string	float	float	floatarray	floatarray	
id	CableSection	Resistance	InductiveReactance	VoltageDrop	VoltageDropCoefficient	
序号	电缆截面	电阻θn=80℃(Ω/km)	感抗(Ω/km)	单位电压降Δua%[%/(A·km)]	单位电压降系数Δua%[%/(A·km)]	
1	3×4	5.332 	0.097 	1.971|2.207|2.43	0.8|0.9|1	
2	4×4	5.332 	0.097 	1.971|2.207|2.43	0.8|0.9|1	
3	5×4	5.332 	0.097 	1.971|2.207|2.43	0.8|0.9|1	
4	3×6	3.554 	0.092 	1.321|1.476|1.62	0.8|0.9|1	
5	4×6	3.554 	0.092 	1.321|1.476|1.62	0.8|0.9|1	
6	5×6	3.554 	0.092 	1.321|1.476|1.62	0.8|0.9|1	
7	3×10	2.175 	0.085 	0.816|0.909|0.991	0.8|0.9|1	
8	4×10	2.175 	0.085 	0.816|0.909|0.991	0.8|0.9|1	
9	5×10	2.175 	0.085 	0.816|0.909|0.991	0.8|0.9|1	
10	3×16	1.359 	0.082 	0.518|0.574|0.619	0.8|0.9|1	
11	4×16	1.359 	0.082 	0.518|0.574|0.619	0.8|0.9|1	
12	5×16	1.359 	0.082 	0.518|0.574|0.619	0.8|0.9|1	
13	3×25	0.870 	0.082 	0.34|0.373|0.397	0.8|0.9|1	
14	3×25+1×16	0.870 	0.082 	0.34|0.373|0.397	0.8|0.9|1	
15	3×25+2×16	0.870 	0.082 	0.34|0.373|0.397	0.8|0.9|1	
16	3×35	0.622 	0.080 	0.249|0.271|0.284	0.8|0.9|1	
17	3×35+1×16	0.622 	0.080 	0.249|0.271|0.284	0.8|0.9|1	
18	3×35+2×16	0.622 	0.080 	0.249|0.271|0.284	0.8|0.9|1	
19	3×50	0.435 	0.080 	0.18|0.194|0.198	0.8|0.9|1	
20	3×50+1×25	0.435 	0.080 	0.18|0.194|0.198	0.8|0.9|1	
21	3×50+2×25	0.435 	0.080 	0.18|0.194|0.198	0.8|0.9|1	
22	3×70	0.310 	0.078 	0.134|0.143|0.141	0.8|0.9|1	
23	3×70+1×35	0.310 	0.078 	0.134|0.143|0.141	0.8|0.9|1	
24	3×70+2×35	0.310 	0.078 	0.134|0.143|0.141	0.8|0.9|1	
25	3×95	0.229 	0.077 	0.105|0.109|0.104	0.8|0.9|1	
26	3×95+1×50	0.229 	0.077 	0.105|0.109|0.104	0.8|0.9|1	
27	3×95+2×50	0.229 	0.077 	0.105|0.109|0.104	0.8|0.9|1	
28	3×120	0.181 	0.077 	0.087|0.09|0.082	0.8|0.9|1	
29	3×120+1×70	0.181 	0.077 	0.087|0.09|0.082	0.8|0.9|1	
30	3×120+2×70	0.181 	0.077 	0.087|0.09|0.082	0.8|0.9|1	
31	3×150	0.145 	0.077 	0.074|0.075|0.066	0.8|0.9|1	
32	3×150+1×70	0.145 	0.077 	0.074|0.075|0.066	0.8|0.9|1	
33	3×150+2×70	0.145 	0.077 	0.074|0.075|0.066	0.8|0.9|1	
34	3×185	0.118 	0.077 	0.064|0.064|0.054	0.8|0.9|1	
35	3×185+1×95	0.118 	0.077 	0.064|0.064|0.054	0.8|0.9|1	
36	3×185+2×95	0.118 	0.077 	0.064|0.064|0.054	0.8|0.9|1	
37	3×240	0.091 	0.077 	0.054|0.053|0.041	0.8|0.9|1	
38	3×240+1×120	0.091 	0.077 	0.054|0.053|0.041	0.8|0.9|1	
39	3×240+2×120	0.091 	0.077 	0.054|0.053|0.041	0.8|0.9|1	
